date;ip;lang;col;site;query;index;where;filter;from
2010-12-05 00:16:19;189.106.144.243;pt;local;bio;cutiara;*;*;;1
2010-12-05 00:16:30;189.106.144.243;pt;local;bio;fauna;*;ALL;;1
2010-12-05 00:16:48;189.106.144.243;pt;local;bio; fauna amazônia;*;ALL;;1
2010-12-05 00:16:55;189.106.144.243;pt;local;bio;amazônia;*;ALL;;1
2010-12-05 00:17:04;189.106.144.243;pt;local;bio;amazônia;kw;ALL;;1
2010-12-05 00:17:10;189.106.144.243;pt;local;bio;fauna;kw;ALL;;1
2010-12-05 00:17:39;189.106.144.243;pt;local;bio;fauna;ti;ALL;;1
2010-12-05 00:17:53;189.106.144.243;pt;local;bio;fauna;ti;ALL;;2
2010-12-05 00:50:02;201.50.0.65;pt;local;bio;carbono;*;ALL;;1
2010-12-05 00:50:03;201.50.0.65;pt;local;bio;carbono;*;ALL;;1
2010-12-05 00:51:36;201.50.0.65;pt;local;bio;eucalipto;*;ALL;;1
2010-12-05 00:51:37;201.50.0.65;pt;local;bio;eucalipto;*;ALL;;1
2010-12-05 00:52:35;201.50.0.65;pt;local;bio;celulose;*;ALL;;1
2010-12-05 00:53:45;201.50.0.65;pt;local;bio;celulose;*;ALL;;1
2010-12-05 00:54:27;201.50.0.65;pt;local;bio;gases de efeito estufa;*;ALL;;1
2010-12-05 00:55:12;201.50.0.65;pt;local;bio;aquecimento global;*;ALL;;1
2010-12-05 00:55:46;201.50.0.65;pt;local;bio;global warming;*;ALL;;1
2010-12-05 00:56:06;201.50.0.65;pt;local;bio;carbon foot print;*;ALL;;1
2010-12-05 00:56:18;201.50.0.65;pt;local;bio;pegada de carbono;*;ALL;;1
2010-12-05 00:58:25;200.2.169.137;pt;local;bio;aquacultura;*;*;;1
2010-12-05 01:19:26;190.4.72.66;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-05 01:19:56;190.4.72.66;pt;local;bio;ONÇA PINTADA;*;BHLB;db:BHLB;1
2010-12-05 01:20:06;190.4.72.66;pt;local;bio;PANTHERA;*;BHLB;db:BHLB;1
2010-12-05 01:20:12;190.4.72.66;pt;local;bio;PANTERA;*;BHLB;db:BHLB;1
2010-12-05 01:22:28;187.20.17.201;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-05 01:38:59;114.76.83.228;pt;local;bio;aves urbanos;*;*;;1
2010-12-05 01:39:33;114.76.83.228;pt;local;bio;passaros urbanos;*;ALL;;1
2010-12-05 01:39:39;114.76.83.228;pt;local;bio;passaros urbano;*;ALL;;1
2010-12-05 01:39:48;114.76.83.228;pt;local;bio;aves urbano;*;ALL;;1
2010-12-05 01:41:31;114.76.83.228;pt;local;bio;urbanos;*;ALL;;1
2010-12-05 01:42:54;114.76.83.228;pt;local;bio;birds;*;ALL;;1
2010-12-05 01:43:07;114.76.83.228;pt;local;bio;birds urban;*;ALL;;1
2010-12-05 06:36:21;66.249.71.37;pt;local;bio;+id:("lil-13264049979");*;*;;1
2010-12-05 07:10:44;66.249.71.37;pt;local;bio;+id:("scl-S0074-02761909000200007");*;*;;1
2010-12-05 08:24:01;187.10.27.121;pt;local;bio;peixe;*;*;;1
2010-12-05 08:25:15;187.10.27.121;pt;local;bio;peixe rio iguaçu;*;*;;1
2010-12-05 08:25:46;187.10.27.121;pt;local;bio;peixe iguaçu barragem;*;*;;1
2010-12-05 08:26:28;187.10.27.121;pt;local;bio;surubim iguaçu barragem;*;*;;1
2010-12-05 08:26:39;187.10.27.121;pt;local;bio;surubim  barragem;*;*;;1
2010-12-05 08:27:08;187.10.27.121;pt;local;bio;rio iguaçu;*;*;;1
